eventId,index,filename,source,caption,url,bytes,contentType
"wave-organ","2","wave-organ/02-Wave-Organ-on-the-Marina-waterfront.jpg","Wikimedia Commons","Wave Organ on the Marina waterfront","https://upload.wikimedia.org/wikipedia/commons/d/d2/Wave_Organ_-_San_Francisco%2C_CA_-_DSC02526.jpg","9509705","image/jpeg"
"wave-organ","3","wave-organ/03-Wave-Organ-stone-acoustic-sculpture.jpg","Wikimedia Commons","Wave Organ stone acoustic sculpture","https://upload.wikimedia.org/wikipedia/commons/1/1d/Wave_Organ_-_San_Francisco%2C_CA_-_DSC02528.jpg","14591610","image/jpeg"
"wave-organ","4","wave-organ/04-Wave-Organ-on-San-Francisco-Bay-with-shoreline-detail.jpg","Flickr / Bob Gunderson","Wave Organ on San Francisco Bay with shoreline detail","https://live.staticflickr.com/4863/39900783163_2b724f072d_b.jpg","236646","image/jpeg"
"stern-grove","1","stern-grove/01-Reserved-table-seating-with-a-direct-view-of-the-Stern-Grove-stage.jpg","Stern Grove Festival","Reserved table seating with a direct view of the Stern Grove stage","https://images.squarespace-cdn.com/content/v1/60412e150e5c1277769df1a8/c50386ae-461b-402e-a091-55990af3ab7a/Tegan+and+Sara+pkp-0346185+%286%29.jpg?format=1500w","573387","image/jpeg"
"stern-grove","2","stern-grove/02-Hosted-table-picnic-setup-inside-the-Grove.jpg","Stern Grove Festival","Hosted table picnic setup inside the Grove","https://images.squarespace-cdn.com/content/v1/60412e150e5c1277769df1a8/530ff6df-1db6-4bf1-8270-a31b6a74f083/1809-sterngrove-230820.jpg?format=1500w","467148","image/jpeg"
"stern-grove","3","stern-grove/03-Stageside-lounge-tables-before-the-concert-fills-in.jpg","Stern Grove Festival","Stageside lounge tables before the concert fills in","https://images.squarespace-cdn.com/content/v1/60412e150e5c1277769df1a8/05fab81f-e534-4ddd-9cda-98af04b41fe3/DSC02765+%285%29.JPG?format=1500w","444513","image/jpeg"
"stern-grove","4","stern-grove/04-Big-Picnic-lounge-guests-toasting-in-the-Grove.jpg","Stern Grove Festival","Big Picnic lounge guests toasting in the Grove","https://images.squarespace-cdn.com/content/v1/60412e150e5c1277769df1a8/c942a83d-3e02-4a4b-9592-7002a95107cc/BP+4.jpg","846626","image/jpeg"
"hardly-strictly","1","hardly-strictly/01-Official-Hardly-Strictly-stage-and-audience-view.jpg","Hardly Strictly Bluegrass","Official Hardly Strictly stage and audience view","https://hardlystrictlybluegrass.com/wp-content/uploads/2025/10/HSB25_Friday_Selects-9101.jpg","641766","image/jpeg"
"hardly-strictly","2","hardly-strictly/02-Golden-Gate-Park-crowd-from-the-official-2025-festival-photos.jpg","Hardly Strictly Bluegrass","Golden Gate Park crowd from the official 2025 festival photos","https://hardlystrictlybluegrass.com/wp-content/uploads/2025/10/HSB25_Friday_Selects-9623.jpg","724508","image/jpeg"
"hardly-strictly","3","hardly-strictly/03-Official-HSBTV-performance-still-from-the-Rooster-Stage.jpg","Hardly Strictly Bluegrass","Official HSBTV performance still from the Rooster Stage","https://hardlystrictlybluegrass.com/wp-content/uploads/2026/07/watchhouse-2025.jpg","261611","image/jpeg"
"hardly-strictly","4","hardly-strictly/04-Official-HSBTV-performance-still-from-the-Swan-Stage.jpg","Hardly Strictly Bluegrass","Official HSBTV performance still from the Swan Stage","https://hardlystrictlybluegrass.com/wp-content/uploads/2026/07/CIMAFUNK.jpg","172455","image/jpeg"
"makerspace-arcade","1","makerspace-arcade/01-Official-Musee-Mecanique-gallery-view-of-the-arcade-floor.jpg","Musée Mécanique","Official Musée Mécanique gallery view of the arcade floor","https://museemecanique.com/static/media/landing_0004_f.636cb665.jpg","902130","image/jpeg"
"makerspace-arcade","2","makerspace-arcade/02-Visitors-playing-vintage-arcade-machines-inside-Musee-Mecanique.jpg","Musée Mécanique","Visitors playing vintage arcade machines inside Musée Mécanique","https://museemecanique.com/static/media/landing_0002_f.307a75b7.jpg","772639","image/jpeg"
"makerspace-arcade","3","makerspace-arcade/03-Official-entrance-sign-at-Pier-45.jpg","Musée Mécanique","Official entrance sign at Pier 45","https://museemecanique.com/static/media/landing_0008_f.762e45c3.jpg","637621","image/jpeg"
"makerspace-arcade","4","makerspace-arcade/04-Hands-on-mechanical-attraction-from-the-official-Musee-collection.jpg","Musée Mécanique","Hands-on mechanical attraction from the official Musée collection","https://museemecanique.com/static/media/est_0009_f.c81db5d7.jpg","719821","image/jpeg"
"fleet-week","1","fleet-week/01-Blue-Angels-over-the-Golden-Gate-Bridge-from-the-official-Fleet-Week-site.jpg","San Francisco Fleet Week","Blue Angels over the Golden Gate Bridge from the official Fleet Week site","https://fleetweeksf.org/wp-content/uploads/2025/01/BA-Golden-Gate-Bridge.jpg","173579","image/jpeg"
"fleet-week","2","fleet-week/02-Official-Fleet-Week-air-show-flyover-above-the-waterfront.jpg","San Francisco Fleet Week","Official Fleet Week air show flyover above the waterfront","https://fleetweeksf.org/wp-content/uploads/2021/06/Home-Page-Ticker-3.jpg","4872126","image/jpeg"
"fleet-week","3","fleet-week/03-Official-air-show-formation-image-from-Fleet-Week.png","San Francisco Fleet Week","Official air show formation image from Fleet Week","https://fleetweeksf.org/wp-content/uploads/2025/10/Snowbirds-1200x796.png","1118582","image/png"
"fleet-week","4","fleet-week/04-Official-Fleet-Week-waterfront-ship-and-visitor-scene.jpg","San Francisco Fleet Week","Official Fleet Week waterfront ship and visitor scene","https://fleetweeksf.org/wp-content/uploads/2025/01/IMG_3372-1-scaled.jpg","722771","image/jpeg"
"litquake","1","litquake/01-Litquake-reading-in-a-packed-neighborhood-venue.jpg","Litquake","Litquake reading in a packed neighborhood venue","https://static.wixstatic.com/media/07f840_f4fa7893be7e4d9d9ac2702aa8a7db38~mv2.jpg","1465326","image/jpeg"
"litquake","2","litquake/02-Outdoor-Lit-Crawl-audience-gathered-around-a-storyteller.jpg","Litquake","Outdoor Lit Crawl audience gathered around a storyteller","https://static.wixstatic.com/media/07f840_416edc2d948a49b386f4aaee19fd9dcc~mv2.jpg","2771421","image/jpeg"
"litquake","3","litquake/03-Author-on-mic-during-a-Litquake-evening-program.jpg","Litquake","Author on mic during a Litquake evening program","https://static.wixstatic.com/media/07f840_ff43e1235ee743ba9ba75e6ede8035ea~mv2.jpg","232222","image/jpeg"
"litquake","4","litquake/04-Standing-room-literary-salon-with-readers-and-audience.jpg","Litquake","Standing-room literary salon with readers and audience","https://static.wixstatic.com/media/07f840_25447f051e3740868420d02fae5d3806~mv2.jpg","212864","image/jpeg"
"sketchfest","1","sketchfest/01-Packed-Sketchfest-theater-crowd-before-a-live-show.jpg","SF Sketchfest","Packed Sketchfest theater crowd before a live show","https://sfsketchfest.com/wp-content/uploads/2017/10/crowd.jpg","155110","image/jpeg"
"sketchfest","2","sketchfest/02-Live-Sketchfest-improv-showcase-group-photo.jpg","SF Sketchfest","Live Sketchfest improv showcase group photo","https://sfsketchfest.com/wp-content/uploads/2025/05/011925_SketchImprovShowcase1_byTommyLau_05.jpg","1013654","image/jpeg"
"sketchfest","3","sketchfest/03-Festival-performance-still-for-a-live-Sketchfest-program.jpg","SF Sketchfest","Festival performance still for a live Sketchfest program","https://sfsketchfest.com/wp-content/uploads/2019/12/1-MedicalPolice-min.jpg","54995","image/jpeg"
"sketchfest","4","sketchfest/04-Invited-talent-portrait-for-a-featured-Sketchfest-act.png","SF Sketchfest","Invited talent portrait for a featured Sketchfest act","https://sfsketchfest.com/wp-content/uploads/2024/12/Chris-Fleming-1.png","614172","image/png"
"south-bay-systems","1","south-bay-systems/01-Hands-on-demo-lab-at-the-Computer-History-Museum.jpg","Computer History Museum","Hands-on demo lab at the Computer History Museum","https://computerhistory.org/wp-content/uploads/2021/06/DEC_PDP-1_Demo_Lab_at_Mountain_Views_Computer_History_Museum-540x406-c-default.jpg","43208","image/jpeg"
"south-bay-systems","2","south-bay-systems/02-Chatbots-Decoded-entry-area-for-a-current-AI-focused-stop.jpg","Computer History Museum","Chatbots Decoded entry area for a current AI-focused stop","https://computerhistory.org/wp-content/uploads/2024/10/2024_10_ChatbotDecoded_Entrance-CS0001-scaled-540x406-c-default.jpg","42578","image/jpeg"
"south-bay-systems","3","south-bay-systems/03-Apple-prototypes-on-display-inside-the-museum.jpg","Computer History Museum","Apple prototypes on display inside the museum","https://computerhistory.org/wp-content/uploads/2026/03/2026-03-ApplePrototypes-001-540x406-c-default.jpg","29300","image/jpeg"
"south-bay-systems","4","south-bay-systems/04-Punched-cards-era-exhibit-wall-at-CHM.jpg","Computer History Museum","Punched-cards era exhibit wall at CHM","https://computerhistory.org/wp-content/uploads/2026/06/exhibits-header-revolution-punched-cards.jpg","117486","image/jpeg"
"stanford-berkeley-labs","1","stanford-berkeley-labs/01-Stanford-AMPF-prototyping-floor-and-tools.png","Stanford AMPF","Stanford AMPF prototyping floor and tools","https://ampf.stanford.edu/wp-content/uploads/2023/05/IMG_4716-2-1024x534.png","754061","image/png"
"stanford-berkeley-labs","2","stanford-berkeley-labs/02-Stanford-AMPF-printing-setup-in-action.png","Stanford AMPF","Stanford AMPF printing setup in action","https://ampf.stanford.edu/wp-content/uploads/2025/04/carbon-s2-printer-1.png","477018","image/png"
"stanford-berkeley-labs","3","stanford-berkeley-labs/03-Stanford-Brainstorm-team-in-a-real-collaboration-space.jpg","Stanford Brainstorm","Stanford Brainstorm team in a real collaboration space","https://images.squarespace-cdn.com/content/v1/6133dca9fc037602b6c15aa7/1954fa76-5452-42ad-b4b2-1327afe57bd0/Stanford+Brainstorm.jpeg","865302","image/jpeg"
"stanford-berkeley-labs","4","stanford-berkeley-labs/04-UC-Berkeley-Jacobs-Institute-design-and-prototyping-studio.jpg","UC Berkeley Jacobs Institute","UC Berkeley Jacobs Institute design and prototyping studio","https://jacobsinstitute.berkeley.edu/wp-content/uploads/2025/08/jacobs_site_bg1-1600x900.jpg","241228","image/jpeg"
"ai-frontier-visits","1","ai-frontier-visits/01-YC-founder-event-conversation-format-with-students-and-builders.png","Y Combinator","YC founder event conversation format with students and builders","https://www.ycombinator.com/blog/content/images/2023/04/summerconf.png","1345754","image/png"
"ai-frontier-visits","2","ai-frontier-visits/02-YC-In-the-Room-speaker-reference-for-a-frontier-AI-operator-session.jpg","Y Combinator","YC In the Room speaker reference for a frontier AI operator session","https://bookface-static.ycombinator.com/assets/ycdc/intheroomwith/greg-brockman-poster-compressed-745fb7cb848fa95ff24bad394777e3f8c3c6fbf079a5d632e3e478ef262518f1.jpg","62864","image/jpeg"
"ai-frontier-visits","3","ai-frontier-visits/03-Technical-founder-speaker-reference-for-an-intimate-Q-A.jpg","Y Combinator","Technical founder speaker reference for an intimate Q&A","https://bookface-static.ycombinator.com/assets/ycdc/intheroomwith/michael-truell-poster-compressed-b0a1598fd43a294adf4789b523b55512f20d348b26905185c9d0bb59a871e8d5.jpg","66852","image/jpeg"
"ai-frontier-visits","4","ai-frontier-visits/04-YC-In-the-Room-speaker-reference-for-alumni-only-technical-access.jpg","Y Combinator","YC In the Room speaker reference for alumni-only technical access","https://bookface-static.ycombinator.com/assets/ycdc/intheroomwith/dylan-field-poster-compressed-81895505876d8cc7e6104a541294bd90d0efd75bd538ae552880738174b70a8e.jpg","116954","image/jpeg"
"random-walk-dinners","1","random-walk-dinners/01-San-Francisco-courtyard-party-with-long-tables-and-warm-evening-energy.jpg","Flickr / SPUR","San Francisco courtyard party with long tables and warm evening energy","https://live.staticflickr.com/3895/14347291146_65e8e440f9_b.jpg","275178","image/jpeg"
"random-walk-dinners","2","random-walk-dinners/02-Moody-Bay-Area-supper-club-room-for-hosted-founder-tables.jpg","Flickr / Thomas Hawk","Moody Bay Area supper-club room for hosted founder tables","https://live.staticflickr.com/65535/49716314866_19ef1d29a7_b.jpg","299667","image/jpeg"
"random-walk-dinners","3","random-walk-dinners/03-Comfortable-restaurant-table-setting.jpg","Wikimedia Commons","Comfortable restaurant table setting","https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Restaurant_table_at_Amantaka_luxury_Resort_%26_Hotel_in_Luang_Prabang_Laos.jpg/960px-Restaurant_table_at_Amantaka_luxury_Resort_%26_Hotel_in_Luang_Prabang_Laos.jpg","112597","image/jpeg"
"random-walk-dinners","4","random-walk-dinners/04-Restaurant-dinner-table.jpg","Wikimedia Commons","Restaurant dinner table","https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Old_Fashioned_French_Dinner_Table%2C_Begue%27s_Restaurant_-_Hypolite_Begue_standing.jpg/500px-Old_Fashioned_French_Dinner_Table%2C_Begue%27s_Restaurant_-_Hypolite_Begue_standing.jpg","57415","image/jpeg"
"alamo-drafthouse-private-screening","1","alamo-drafthouse-private-screening/01-New-Mission-auditorium-for-a-private-founder-screening.jpg","EventUp / Alamo Drafthouse New Mission","New Mission auditorium for a private founder screening","https://venue-media.eventup.com/resized/venue/alamo-drafthouse-san-francisco-new-mission/f326.1920x1080.jpg","33142","binary/octet-stream"
"alamo-drafthouse-private-screening","2","alamo-drafthouse-private-screening/02-Bear-vs-Bull-bar-entrance-and-signature-bull-and-bear-visual.jpg","Eater SF","Bear vs Bull bar entrance and signature bull-and-bear visual","https://platform.sf.eater.com/wp-content/uploads/sites/28/chorus/uploads/chorus_asset/file/15622509/BearVsBull_NewMission_byTommyLau_07.0.0.1450297911.jpg?quality=90&strip=all&crop=0%2C0%2C100%2C100&w=2400","820994","image/jpeg"
"alamo-drafthouse-private-screening","3","alamo-drafthouse-private-screening/03-Bear-vs-Bull-bar-seating-and-cocktail-service.jpg","SFGate","Bear vs Bull bar seating and cocktail service","https://s.hdnux.com/photos/43/32/65/9284941/5/rawImage.jpg","483658","image/jpeg"
"alamo-drafthouse-private-screening","4","alamo-drafthouse-private-screening/04-Bear-vs-Bull-interior-atmosphere-before-or-after-the-film.webp","SFGate","Bear vs Bull interior atmosphere before or after the film","https://s.hdnux.com/photos/43/32/64/9284923/3/1080x0.webp","149852","image/webp"
"charter-muni-train-night-cruise","1","charter-muni-train-night-cruise/01-Historic-Muni-PCC-streetcar-lit-up-at-night.jpg","Flickr / Lights in my hometown","Historic Muni PCC streetcar lit up at night","https://live.staticflickr.com/8232/8540243581_2af9c55ee9_b.jpg","183380","image/jpeg"
"charter-muni-train-night-cruise","2","charter-muni-train-night-cruise/02-Vintage-streetcar-along-the-Embarcadero-waterfront.jpg","Market Street Railway","Vintage streetcar along the Embarcadero waterfront","https://www.streetcar.org/wp-content/uploads/578_1-Pier-39061422-Adolfo-Echeverry-copy-1024x683.jpg","155739","image/jpeg"
"charter-muni-train-night-cruise","3","charter-muni-train-night-cruise/03-Vintage-streetcar-cutting-through-a-cinematic-Market-Street-scene.jpg","Flickr / Carl's Captures","Vintage streetcar cutting through a cinematic Market Street scene","https://live.staticflickr.com/65535/53086153637_06c683d69a_b.jpg","198411","image/jpeg"
"charter-muni-train-night-cruise","4","charter-muni-train-night-cruise/04-Yellow-PCC-streetcar-passing-the-Ferry-Building-on-the-Embarcadero.jpg","Flickr / Guy Arab","Yellow PCC streetcar passing the Ferry Building on the Embarcadero","https://live.staticflickr.com/8722/16902360048_9dc2ee001c_b.jpg","201311","image/jpeg"
"ocean-beach-fire","1","ocean-beach-fire/01-Aerial-Ocean-Beach-view-with-the-shoreline-and-surf.webp","Golden Gate National Parks Conservancy","Aerial Ocean Beach view with the shoreline and surf","https://www.parksconservancy.org/sites/default/files/styles/card_2x/public/resource-gallery/OCBE_121021_FS_10_2x1_0.jpg.webp?itok=HeLYFz-q","201716","image/webp"
"ocean-beach-fire","2","ocean-beach-fire/02-Ocean-Beach-fire-pits-at-sunset.webp","Golden Gate National Parks Conservancy","Ocean Beach fire pits at sunset","https://www.parksconservancy.org/sites/default/files/styles/card_2x/public/resource-gallery/OCBE_170311_KW-3481_2x1.jpg.webp?itok=zdvBxXru","994300","image/webp"
"ocean-beach-fire","3","ocean-beach-fire/03-Families-and-friends-gathering-at-Ocean-Beach-at-sunset.webp","Golden Gate National Parks Conservancy","Families and friends gathering at Ocean Beach at sunset","https://www.parksconservancy.org/sites/default/files/styles/card_2x/public/resource-gallery/OCBE_20170113_PMM_0008_2x1.jpg.webp?itok=ILhDg58r","111384","image/webp"
"ocean-beach-fire","4","ocean-beach-fire/04-A-surfer-surveying-the-waves-at-Ocean-Beach.webp","Golden Gate National Parks Conservancy","A surfer surveying the waves at Ocean Beach","https://www.parksconservancy.org/sites/default/files/styles/card_2x/public/resource-gallery/OCBE_20190921_RCW_26_2x1.jpg.webp?itok=09ZyjO5k","121702","image/webp"
"lands-end","1","lands-end/01-Land-s-End-labyrinth-at-sunset.png","National Park Service","Land's End labyrinth at sunset","https://www.nps.gov/goga/learn/historyculture/images/Lands-End-Labyrinth.png","156929","image/png"
"lands-end","2","lands-end/02-Sutro-Baths-overlook-on-the-Land-s-End-route.jpg","Wikimedia Commons","Sutro Baths overlook on the Land's End route","https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Lands_End_-_Sutro_Baths_-_March_2018_%284678%29.jpg/960px-Lands_End_-_Sutro_Baths_-_March_2018_%284678%29.jpg","242927","image/jpeg"
"lands-end","3","lands-end/03-Mile-Rock-Beach-and-coastal-stop-below-the-trail.png","National Park Service","Mile Rock Beach and coastal stop below the trail","https://www.nps.gov/goga/learn/historyculture/images/Lands-End-Mile-Rocks-Beach.png","306509","image/png"
"lands-end","4","lands-end/04-Foggy-cypress-section-of-the-Land-s-End-trail.png","National Park Service","Foggy cypress section of the Land's End trail","https://www.nps.gov/goga/learn/historyculture/images/Fog_3.png","140182","image/png"
"presidio-forest","1","presidio-forest/01-Rob-Hill-forest-setting-for-a-quiet-guided-walk.jpg","Presidio Trust","Rob Hill forest setting for a quiet guided walk","https://wp.presidio.gov/wp-content/uploads/2023/07/2.1.70-Rob-Hill-Campground.jpg","512822","image/jpeg"
"presidio-forest","2","presidio-forest/02-Presidio-meadow-picnic-with-Golden-Gate-Bridge-views.jpg","Presidio Trust","Presidio meadow picnic with Golden Gate Bridge views","https://wp.presidio.gov/wp-content/uploads/2025/07/Presidio_OM_Image-by-Hollero-1080px.jpg","240635","image/jpeg"
"presidio-forest","3","presidio-forest/03-Presidio-Tunnel-Tops-landscape-for-a-polished-picnic-stop.jpg","Presidio Trust","Presidio Tunnel Tops landscape for a polished picnic stop","https://wp.presidio.gov/wp-content/uploads/2023/07/tunneltops2410b-1976.jpg","10465845","image/jpeg"
"presidio-forest","4","presidio-forest/04-Mountain-Lake-as-a-calmer-nature-stop-inside-the-Presidio.jpg","Presidio Trust","Mountain Lake as a calmer nature stop inside the Presidio","https://wp.presidio.gov/wp-content/uploads/2023/07/2.1.47-Mountain-Lake.jpg","487884","image/jpeg"
"marin-headlands","1","marin-headlands/01-Marin-Headlands-coastal-view-toward-the-Golden-Gate.jpg","National Park Service","Marin Headlands coastal view toward the Golden Gate","https://www.nps.gov/common/uploads/grid_builder/goga/crop1_1/C4006F85-EBAF-1CD0-556D4F624AB38AC0.jpg?width=640&quality=90&mode=crop","83413","image/jpeg"
"marin-headlands","2","marin-headlands/02-Headlands-ridge-stop-with-bay-and-bridge-views.jpg","National Park Service","Headlands ridge stop with bay and bridge views","https://www.nps.gov/common/uploads/grid_builder/goga/crop1_1/219DE2D3-FA03-9080-02EF4717CE1BB54B.jpg?width=640&quality=90&mode=crop","91865","image/jpeg"
"marin-headlands","3","marin-headlands/03-Rodeo-Beach-coastline-for-the-Sausalito-side-nature-day.jpg","National Park Service","Rodeo Beach coastline for the Sausalito-side nature day","https://www.nps.gov/common/uploads/grid_builder/goga/crop1_1/BF4EDA7F-1DD8-B71B-0B93E257F34F00FC.jpg?width=640&quality=90&mode=crop","127074","image/jpeg"
"marin-headlands","4","marin-headlands/04-Founder-scale-overlook-moment-in-the-Marin-Headlands.jpg","National Park Service","Founder-scale overlook moment in the Marin Headlands","https://www.nps.gov/common/uploads/grid_builder/goga/crop1_1/3AC3F450-F2DF-43EE-1264E03DA30EA896.jpg?width=640&quality=90&mode=crop","50809","image/jpeg"
"gg-bridge-bike","1","gg-bridge-bike/01-Riders-crossing-the-Golden-Gate-Bridge-on-the-bike-route.jpg","Blazing Saddles","Riders crossing the Golden Gate Bridge on the bike route","https://www.blazingsaddles.com/sites/default/files/styles/bike_category_banner/public/cover-images/2026-02/0128blazingsaddlesbridgeshoot-5_0.jpg?h=6c6dcce2&itok=svQEQUPk","362917","image/jpeg"
"gg-bridge-bike","2","gg-bridge-bike/02-Bridge-route-biking-with-the-towers-close-up.jpg","Blazing Saddles","Bridge-route biking with the towers close up","https://www.blazingsaddles.com/sites/default/files/tour-sidebar-images/2026-04/829-sausalito-bridge-ride.jpg","264750","image/jpeg"
"gg-bridge-bike","3","gg-bridge-bike/03-Small-group-pause-while-crossing-the-Golden-Gate-Bridge.png","Blazing Saddles","Small group pause while crossing the Golden Gate Bridge","https://www.blazingsaddles.com/sites/default/files/slideshow-image/2026-05/crossing-the-bridge.PNG","8239193","image/png"
"gg-bridge-bike","4","gg-bridge-bike/04-Group-ride-energy-with-the-bay-behind-the-route.jpg","Blazing Saddles","Group ride energy with the bay behind the route","https://www.blazingsaddles.com/sites/default/files/styles/bike_category_banner/public/cover-images/2019-05/BS-Web-Image-66_0.jpg?itok=Y8lDb_wy","162506","image/jpeg"
"bay-sail","1","bay-sail/01-Sailboat-on-San-Francisco-Bay-with-Golden-Gate-views.jpg","Flickr / Andy Sum","Sailboat on San Francisco Bay with Golden Gate views","https://live.staticflickr.com/4104/5176761586_745b9babc7_b.jpg","148501","image/jpeg"
"bay-sail","2","bay-sail/02-Boats-sailing-off-Tiburon-in-the-San-Francisco-Bay.jpg","Wikimedia Commons","Boats sailing off Tiburon in the San Francisco Bay","https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Boats_sailing_off_Tiburon_in_the_San_Francisco_Bay.jpg/960px-Boats_sailing_off_Tiburon_in_the_San_Francisco_Bay.jpg","113760","image/jpeg"
